Region,5-Year GDP CAGR
East Asia & Pacific,0.0707862314857739
Europe & Central Asia,0.06232109231677674
Latin America & Caribbean,0.06535974131529199
Middle East & North Africa,0.08286981393105664
North America,0.04771611306567358
South Asia,0.05308351624224894
Sub-Saharan Africa,0.05824268337254046
